buyer_id,registration_date,buyer_location
2017079,1/1/2021,Malang
2017222,1/1/2021,Surabaya
2017541,1/1/2021,Jakarta
2017595,1/1/2021,Surabaya
2017598,1/1/2021,Jakarta
2017670,1/1/2021,Malang
2017675,1/1/2021,Jakarta
2017785,1/1/2021,Bandung
2018031,1/1/2021,Jakarta
2018169,1/1/2021,Bandung
2018363,1/1/2021,Jakarta
2018408,1/1/2021,Bandung
2018544,1/1/2021,Jakarta
2018773,1/1/2021,Bandung
2018794,1/1/2021,Surabaya
2018882,1/1/2021,Jakarta
2019146,1/1/2021,Jakarta
2019225,1/1/2021,Jakarta
2019233,1/1/2021,Surabaya
2019284,1/1/2021,Jakarta
2019443,1/1/2021,Surabaya
2019761,1/1/2021,Jakarta
2019792,1/1/2021,Surabaya
2019796,1/1/2021,Malang
2020051,1/1/2021,Bandung
2020115,1/1/2021,Bandung
2020185,1/1/2021,Malang
2020270,1/1/2021,Malang
2020275,1/1/2021,Surabaya
2020290,1/1/2021,Bandung
2020317,1/1/2021,Jakarta
2020394,1/1/2021,Jakarta
2020479,1/1/2021,Jakarta
2020799,1/1/2021,Malang
2020859,1/1/2021,Surabaya
2016904,1/2/2021,Malang
2016992,1/2/2021,Surabaya
2017155,1/2/2021,Jakarta
2017174,1/2/2021,Jakarta
2017179,1/2/2021,Jakarta
2017230,1/2/2021,Jakarta
2017274,1/2/2021,Jakarta
2017321,1/2/2021,Jakarta
2017359,1/2/2021,Bandung
2017661,1/2/2021,Jakarta
2018331,1/2/2021,Bandung
2018345,1/2/2021,Surabaya
2018433,1/2/2021,Jakarta
2018477,1/2/2021,Surabaya
2018814,1/2/2021,Jakarta
2018937,1/2/2021,Surabaya
2019124,1/2/2021,Jakarta
2019240,1/2/2021,Jakarta
2019289,1/2/2021,Malang
2019664,1/2/2021,Jakarta
2019864,1/2/2021,Jakarta
2019896,1/2/2021,Surabaya
2019988,1/2/2021,Jakarta
2020001,1/2/2021,Jakarta
2020584,1/2/2021,Jakarta
2020836,1/2/2021,Jakarta
2016928,1/3/2021,Bandung
2016939,1/3/2021,Jakarta
2017347,1/3/2021,Surabaya
2017869,1/3/2021,Bandung
2018177,1/3/2021,Surabaya
2018188,1/3/2021,Jakarta
2018422,1/3/2021,Bandung
2018831,1/3/2021,Bandung
2018915,1/3/2021,Jakarta
2018962,1/3/2021,Malang
2019114,1/3/2021,Surabaya
2019624,1/3/2021,Malang
2019672,1/3/2021,Jakarta
2019693,1/3/2021,Bandung
2019868,1/3/2021,Surabaya
2019911,1/3/2021,Surabaya
2020503,1/3/2021,Bandung
2020584,1/3/2021,Jakarta
2020624,1/3/2021,Malang
2020707,1/3/2021,Jakarta
2016905,1/4/2021,Bandung
2016944,1/4/2021,Jakarta
2017165,1/4/2021,Bandung
2017212,1/4/2021,Malang
2017314,1/4/2021,Jakarta
2017541,1/4/2021,Malang
2017552,1/4/2021,Bandung
2017606,1/4/2021,Jakarta
2017615,1/4/2021,Bandung
2017872,1/4/2021,Surabaya
2017956,1/4/2021,Surabaya
2018021,1/4/2021,Bandung
2018021,1/4/2021,Malang
2018129,1/4/2021,Malang
2018138,1/4/2021,Surabaya
2018182,1/4/2021,Jakarta
2018299,1/4/2021,Jakarta
2018425,1/4/2021,Malang
2018536,1/4/2021,Jakarta
2018585,1/4/2021,Jakarta
2018595,1/4/2021,Bandung
2018799,1/4/2021,Surabaya
2018877,1/4/2021,Bandung
2018896,1/4/2021,Jakarta
2019145,1/4/2021,Jakarta
2019267,1/4/2021,Bandung
2019581,1/4/2021,Jakarta
2019914,1/4/2021,Bandung
2019963,1/4/2021,Jakarta
2020205,1/4/2021,Jakarta
2020492,1/4/2021,Jakarta
2020691,1/4/2021,Bandung
2020777,1/4/2021,Bandung
2016984,1/5/2021,Jakarta
2017009,1/5/2021,Jakarta
2017075,1/5/2021,Malang
2017087,1/5/2021,Jakarta
2017190,1/5/2021,Bandung
2017351,1/5/2021,Surabaya
2017648,1/5/2021,Surabaya
2017697,1/5/2021,Surabaya
2018567,1/5/2021,Bandung
2018725,1/5/2021,Bandung
2019061,1/5/2021,Jakarta
2019130,1/5/2021,Jakarta
2019227,1/5/2021,Jakarta
2019263,1/5/2021,Malang
2019268,1/5/2021,Jakarta
2019348,1/5/2021,Bandung
2019368,1/5/2021,Malang
2019613,1/5/2021,Bandung
2019807,1/5/2021,Jakarta
2019908,1/5/2021,Surabaya
2020100,1/5/2021,Bandung
2020141,1/5/2021,Malang
2020147,1/5/2021,Surabaya
2020249,1/5/2021,Jakarta
2020522,1/5/2021,Surabaya
2020524,1/5/2021,Jakarta
2020685,1/5/2021,Jakarta
2020695,1/5/2021,Jakarta
2020790,1/5/2021,Bandung
2016899,1/6/2021,Jakarta
2017106,1/6/2021,Jakarta
2017413,1/6/2021,Malang
2017554,1/6/2021,Surabaya
2017788,1/6/2021,Malang
2017816,1/6/2021,Bandung
2017835,1/6/2021,Surabaya
2018072,1/6/2021,Bandung
2018399,1/6/2021,Bandung
2018882,1/6/2021,Jakarta
2019150,1/6/2021,Malang
2019221,1/6/2021,Bandung
2019249,1/6/2021,Jakarta
2019339,1/6/2021,Jakarta
2019358,1/6/2021,Jakarta
2019391,1/6/2021,Bandung
2019395,1/6/2021,Surabaya
2019412,1/6/2021,Surabaya
2019595,1/6/2021,Jakarta
