product_id,category_name
2435814,Hobby
2436326,Hobby
2436467,Fashion
2437016,Fashion
2437411,Sport
2438021,Fashion
2438212,Food & Drink
2439675,Electronic
2439903,Fashion
2440362,Hobby
2440385,Electronic
2440439,Sport
2440834,Fashion
2441211,Hobby
2441228,Hobby
2441667,Electronic
2441814,Food & Drink
2442307,Electronic
2442753,Electronic
2442893,Electronic
2443002,Food & Drink
2443677,Electronic
2443679,Food & Drink
2443886,Electronic
2444296,Hobby
2444309,Sport
2444538,Sport
2444888,Food & Drink
2446006,Food & Drink
2447027,Food & Drink
2447102,Sport
2447634,Food & Drink
2447923,Sport
2448376,Fashion
2449521,Sport
2449628,Electronic
2449910,Food & Drink
2450260,Hobby
2450266,Hobby
2450620,Fashion
2452586,Hobby
2453165,Sport
2453666,Sport
2453733,Food & Drink
2454015,Food & Drink
2454401,Sport
2456541,Fashion
2457472,Sport
2457497,Fashion
2457561,Electronic
2457583,Electronic
2458381,Sport
2459042,Electronic
2460073,Fashion
2460103,Electronic
2460127,Food & Drink
2460399,Sport
2461396,Sport
2461679,Electronic
2461749,Food & Drink
2462171,Electronic
2462308,Electronic
2462663,Hobby
2463226,Electronic
2463518,Electronic
2463839,Electronic
2464655,Fashion
2464740,Sport
2466931,Fashion
2467957,Hobby
2468124,Sport
2468347,Hobby
2468375,Electronic
2468490,Food & Drink
2469153,Hobby
2469256,Food & Drink
2469335,Fashion
2469606,Fashion
2469871,Food & Drink
2470118,Hobby
2470257,Food & Drink
2470284,Sport
2470435,Fashion
2471440,Hobby
2472018,Electronic
2472788,Sport
2473660,Electronic
2474546,Food & Drink
2474683,Sport
2474736,Fashion
2474998,Electronic
2475055,Fashion
2475195,Hobby
2475692,Fashion
2475788,Electronic
2475950,Hobby
2476125,Food & Drink
2478565,Food & Drink
2478681,Hobby
2479387,Sport
2479534,Fashion
2479636,Electronic
2480738,Fashion
2480949,Fashion
2481253,Sport
2481264,Fashion
2481363,Fashion
2482443,Electronic
2482749,Sport
2482840,Food & Drink
2483137,Fashion
2483230,Sport
2483273,Hobby
2483714,Electronic
2483849,Electronic
2484233,Fashion
2484275,Hobby
2484284,Fashion
2484732,Hobby
2485089,Fashion
2485330,Sport
2485401,Electronic
2485699,Fashion
2485730,Hobby
2485784,Food & Drink
2485899,Electronic
2486733,Sport
2486837,Food & Drink
2487075,Hobby
2487476,Electronic
2487540,Electronic
2487673,Hobby
2488053,Electronic
2488260,Fashion
2488485,Hobby
2489831,Electronic
2490074,Sport
2490127,Sport
2490470,Fashion
2490642,Food & Drink
2491600,Food & Drink
2491681,Electronic
2493199,Sport
2493364,Fashion
2493449,Sport
2494127,Fashion
2494474,Electronic
2495709,Electronic
2496217,Fashion
2496706,Hobby
2497042,Sport
2497067,Hobby
2497067,Electronic
2497270,Sport
2497586,Fashion
2497825,Hobby
2498055,Food & Drink
2498277,Sport
2498699,Sport
2498828,Sport
2499750,Electronic
2499786,Electronic
2500038,Electronic
2500085,Fashion
2500123,Food & Drink
2500123,Electronic
2500263,Food & Drink
2500537,Food & Drink
2500538,Fashion
2501360,Electronic
2501515,Food & Drink
2501541,Hobby
2501909,Fashion
2502056,Hobby
2502238,Fashion
2502251,Fashion
2502383,Electronic
2502560,Food & Drink
2502823,Hobby
2503475,Electronic
2503838,Sport
2504370,Electronic
2504629,Electronic
2504866,Electronic
2505680,Fashion
2506660,Fashion
2506874,Hobby
2507609,Food & Drink
2507875,Sport
2508101,Electronic
2508213,Electronic
2508226,Fashion
2508240,Hobby
2510208,Fashion
2510425,Fashion
2510436,Electronic
2513336,Food & Drink
2513453,Sport
2513782,Food & Drink
2513798,Hobby
2514393,Hobby
2514724,Food & Drink
2516348,Food & Drink
2516752,Fashion
2517186,Fashion
2517540,Food & Drink
2518433,Food & Drink
2518813,Food & Drink
2519447,Electronic
2519529,Food & Drink
2519718,Food & Drink
2520037,Sport
2520360,Electronic
2520587,Hobby
2520823,Electronic
2522036,Sport
2522434,Sport
