purchase_id,purchase_time,purchase_price,payment_status,store_id,buyer_id,product_id
6980069,1/1/2021,1066032,paid,1337856,2018537,5324390
6980720,1/1/2021,1146032,paid,1338507,2020744,6520610
6979979,1/1/2021,1049838,paid,1337766,2018083,6391862
6980241,1/1/2021,1086777,paid,1338028,2018000,3575361
6980178,1/1/2021,1241555,cancel,1337965,2018560,5891134
6980287,1/1/2021,296000,waiting,1338074,2018784,7074672
6980368,1/1/2021,585840,cancel,1338155,2018747,4509991
6980435,1/1/2021,853180,paid,1338222,2018253,6012006
6980628,1/1/2021,1083108,paid,1338415,2017100,3874116
6980035,1/1/2021,982800,cancel,1337822,2020175,4257179
6980461,1/1/2021,223245,waiting,1338248,2017061,9201967
6980418,1/1/2021,267045,cancel,1338205,2020631,7400466
6980755,1/1/2021,505818,cancel,1338542,2020365,10082893
6980688,1/1/2021,303006,cancel,1338475,2019723,8009950
6980111,1/1/2021,902946,cancel,1337898,2017408,8621678
6980271,1/1/2021,875385,waiting,1338058,2020166,4849019
6980587,1/1/2021,510120,paid,1338374,2017454,3963068
6980619,1/1/2021,327612,paid,1338406,2019259,8912956
6979949,1/1/2021,1100892,paid,1337736,2017790,9941595
6980454,1/1/2021,168612,cancel,1338241,2018497,9038725
6980292,1/1/2021,1310724,paid,1338079,2018286,5196077
6980554,1/1/2021,1243704,paid,1338341,2020190,5355034
6980242,1/1/2021,94423,paid,1338029,2018397,8293466
6980016,1/1/2021,489555,paid,1337803,2017134,6896014
6980376,1/1/2021,159696,paid,1338163,2020280,8470671
6980538,1/1/2021,1421400,waiting,1338325,2017357,2900424
6980456,1/1/2021,1232264,cancel,1338243,2017230,8874207
6980183,1/1/2021,162833,paid,1337970,2017757,10278548
6979997,1/1/2021,318208,cancel,1337784,2019026,7371099
6980072,1/1/2021,1015172,waiting,1337859,2020099,6036433
6979930,1/1/2021,1057415,waiting,1337717,2020628,5880258
6979990,1/1/2021,833952,paid,1337777,2020398,8120797
6980320,1/1/2021,791874,paid,1338107,2017011,9649060
6980213,1/1/2021,369992,cancel,1338000,2020200,10397698
6980651,1/1/2021,1198880,paid,1338438,2018293,6494350
6980413,1/1/2021,134780,paid,1338200,2018743,5241460
6980147,1/1/2021,1040588,paid,1337934,2018709,8121426
6980236,1/1/2021,412145,paid,1338023,2017917,6869836
6980166,1/1/2021,278880,paid,1337953,2017592,7508776
6979899,1/1/2021,760320,paid,1337686,2019257,8971586
6980819,1/1/2021,196266,paid,1338606,2019372,9907435
6980558,1/1/2021,27624,waiting,1338345,2019169,7602697
6980281,1/1/2021,307251,waiting,1338068,2017734,4588519
6980358,1/1/2021,610041,waiting,1338145,2017977,3069536
6979911,1/1/2021,266190,waiting,1337698,2019324,9084350
6980263,1/1/2021,1075518,waiting,1338050,2018927,5387997
6980253,1/1/2021,999948,cancel,1338040,2018200,5441023
6980223,1/1/2021,470492,paid,1338010,2018369,2592307
6980623,1/1/2021,449610,paid,1338410,2020456,9790209
6979994,1/1/2021,201320,paid,1337781,2016879,3305743
6980600,1/1/2021,601965,paid,1338387,2020555,8998636
6980615,1/1/2021,1442875,waiting,1338402,2017384,5447033
6980158,1/1/2021,1290678,paid,1337945,2017760,7354494
6980178,1/1/2021,292182,paid,1337965,2020687,2851216
6980814,1/1/2021,313128,paid,1338601,2018892,9512935
6980207,1/2/2021,670548,paid,1337994,2019472,6102840
6980840,1/2/2021,820288,paid,1338627,2019335,10269538
6980455,1/2/2021,582120,cancel,1338242,2019371,5974139
6980427,1/2/2021,103712,paid,1338214,2019128,7171145
6980748,1/2/2021,1276457,cancel,1338535,2019347,9448543
6980482,1/2/2021,992932,paid,1338269,2019105,4011540
6979919,1/2/2021,909391,cancel,1337706,2020477,9267012
6979975,1/2/2021,1112400,paid,1337762,2017356,4555191
6980435,1/2/2021,1192320,paid,1338222,2018006,10397992
6980576,1/2/2021,198702,waiting,1338363,2019470,8102030
6979938,1/2/2021,290862,paid,1337725,2018684,7960284
6980607,1/2/2021,391007,paid,1338394,2017827,10129654
6980652,1/2/2021,741384,paid,1338439,2018102,9164056
6980552,1/2/2021,411220,paid,1338339,2016926,3982588
6980870,1/2/2021,1362656,cancel,1338657,2019871,10216322
6980693,1/2/2021,934144,paid,1338480,2017944,8883262
6980139,1/2/2021,1176276,cancel,1337926,2017176,9453182
6980087,1/2/2021,872388,paid,1337874,2018422,8422667
6980701,1/2/2021,445170,waiting,1338488,2017291,10355401
6980466,1/2/2021,646608,waiting,1338253,2018669,3261057
6980224,1/2/2021,1142940,cancel,1338011,2020417,10248740
